,date,store_nbr,transactions
16908,2014-01-01,25,840
16909,2014-01-01,36,487
16910,2014-01-02,1,1875
16911,2014-01-02,2,2122
16912,2014-01-02,3,3350
16913,2014-01-02,4,1661
16914,2014-01-02,5,1807
16915,2014-01-02,6,2051
16916,2014-01-02,7,1836
16917,2014-01-02,8,3049
16918,2014-01-02,9,2497
16919,2014-01-02,10,1320
16920,2014-01-02,11,2863
16921,2014-01-02,12,1309
16922,2014-01-02,13,1108
16923,2014-01-02,14,1903
16924,2014-01-02,15,1497
16925,2014-01-02,16,1157
16926,2014-01-02,17,1492
16927,2014-01-02,18,1409
16928,2014-01-02,19,1368
16929,2014-01-02,23,1302
16930,2014-01-02,24,2472
16931,2014-01-02,25,1315
16932,2014-01-02,26,790
16933,2014-01-02,27,1391
16934,2014-01-02,28,1112
16935,2014-01-02,30,758
16936,2014-01-02,31,1471
16937,2014-01-02,33,1213
16938,2014-01-02,34,2846
16939,2014-01-02,35,731
16940,2014-01-02,36,1116
16941,2014-01-02,37,1856
16942,2014-01-02,38,2038
16943,2014-01-02,39,1563
16944,2014-01-02,40,1405
16945,2014-01-02,41,1110
16946,2014-01-02,43,1510
16947,2014-01-02,44,4422
16948,2014-01-02,45,4235
16949,2014-01-02,46,4210
16950,2014-01-02,47,4334
16951,2014-01-02,48,3643
16952,2014-01-02,49,2463
16953,2014-01-02,50,2925
16954,2014-01-02,51,1884
16955,2014-01-02,54,927
16956,2014-01-03,1,1817
16957,2014-01-03,2,2090
16958,2014-01-03,3,3347
16959,2014-01-03,4,1534
16960,2014-01-03,5,1709
16961,2014-01-03,6,1887
16962,2014-01-03,7,1841
16963,2014-01-03,8,3042
16964,2014-01-03,9,2081
16965,2014-01-03,10,1012
16966,2014-01-03,11,2673
16967,2014-01-03,12,1171
16968,2014-01-03,13,946
16969,2014-01-03,14,1604
16970,2014-01-03,15,1393
16971,2014-01-03,16,1004
16972,2014-01-03,17,1162
16973,2014-01-03,18,1286
16974,2014-01-03,19,1244
16975,2014-01-03,23,1239
16976,2014-01-03,24,2687
16977,2014-01-03,25,1433
16978,2014-01-03,26,725
16979,2014-01-03,27,1244
16980,2014-01-03,28,892
16981,2014-01-03,30,690
16982,2014-01-03,31,1366
16983,2014-01-03,32,613
16984,2014-01-03,33,1173
16985,2014-01-03,34,2529
16986,2014-01-03,35,672
16987,2014-01-03,36,1035
16988,2014-01-03,37,1756
16989,2014-01-03,38,1753
16990,2014-01-03,39,1392
16991,2014-01-03,40,1326
16992,2014-01-03,41,968
16993,2014-01-03,43,1808
16994,2014-01-03,44,4167
16995,2014-01-03,45,3927
16996,2014-01-03,46,3673
16997,2014-01-03,47,3914
16998,2014-01-03,48,3240
16999,2014-01-03,49,2366
17000,2014-01-03,50,2580
17001,2014-01-03,51,1679
17002,2014-01-03,54,798
17003,2014-01-04,1,1294
17004,2014-01-04,2,2254
17005,2014-01-04,3,3810
17006,2014-01-04,4,1816
17007,2014-01-04,5,1783
17008,2014-01-04,6,2365
17009,2014-01-04,7,1805
17010,2014-01-04,8,3169
17011,2014-01-04,9,2587
17012,2014-01-04,10,1391
17013,2014-01-04,11,3095
17014,2014-01-04,12,1362
17015,2014-01-04,13,1389
17016,2014-01-04,14,2164
17017,2014-01-04,15,1355
17018,2014-01-04,16,1097
17019,2014-01-04,17,1534
17020,2014-01-04,18,1409
17021,2014-01-04,19,1957
17022,2014-01-04,23,1190
17023,2014-01-04,24,2499
17024,2014-01-04,25,1613
17025,2014-01-04,26,810
17026,2014-01-04,27,1568
17027,2014-01-04,28,1214
17028,2014-01-04,30,746
17029,2014-01-04,31,1573
17030,2014-01-04,32,691
17031,2014-01-04,33,1312
17032,2014-01-04,34,2643
17033,2014-01-04,35,749
17034,2014-01-04,36,1120
17035,2014-01-04,37,1850
17036,2014-01-04,38,2659
17037,2014-01-04,39,1921
17038,2014-01-04,40,1303
17039,2014-01-04,41,1184
17040,2014-01-04,43,1510
17041,2014-01-04,44,5341
17042,2014-01-04,45,5081
17043,2014-01-04,46,5600
17044,2014-01-04,47,5232
17045,2014-01-04,48,4581
17046,2014-01-04,49,3024
17047,2014-01-04,50,3772
17048,2014-01-04,51,2034
17049,2014-01-04,54,905
17050,2014-01-05,1,489
17051,2014-01-05,2,2088
17052,2014-01-05,3,3634
17053,2014-01-05,4,1954
17054,2014-01-05,5,1669
17055,2014-01-05,6,2269
17056,2014-01-05,7,1572
17057,2014-01-05,8,2840
17058,2014-01-05,9,2400
17059,2014-01-05,10,1104
